62.8225 5.05308 -400.212
63.8909 5.04837 -399.866
65.0698 5.04389 -399.467
66.3336 5.0397 -399.031
67.6568 5.03585 -398.57
69.0138 5.03237 -398.097
70.3791 5.02932 -397.626
71.727 5.02675 -397.169
73.032 5.0247 -396.741
74.3084 5.02333 -396.341
75.5867 5.02269 -395.958
76.8656 5.0226 -395.584
78.1438 5.0229 -395.215
79.4199 5.02342 -394.843
80.6927 5.02401 -394.463
81.9608 5.02448 -394.067
83.223 5.0247 -393.651
84.4784 5.02457 -393.212
85.7281 5.02425 -392.757
86.9731 5.02384 -392.289
88.2148 5.02348 -391.811
89.4543 5.02329 -391.327
90.6927 5.02341 -390.84
91.9314 5.02395 -390.353
93.1716 5.02505 -389.87
94.4134 5.0264 -389.388
95.6559 5.02775 -388.904
96.8983 5.02932 -388.417
98.14 5.03129 -387.928
99.38 5.03387 -387.438
100.618 5.03728 -386.947
101.852 5.0417 -386.456
103.083 5.04735 -385.965
104.312 5.05427 -385.476
105.54 5.06227 -384.993
106.768 5.07123 -384.51
107.992 5.08104 -384.026
109.212 5.09158 -383.536
110.425 5.10272 -383.039
111.63 5.11435 -382.53
112.825 5.12635 -382.008
114.016 5.13916 -381.481
115.205 5.1531 -380.956
116.389 5.16783 -380.427
117.566 5.18301 -379.887
118.731 5.19832 -379.328
119.882 5.21341 -378.744
121.015 5.22796 -378.128
122.127 5.24162 -377.471
123.225 5.25486 -376.778
124.315 5.26819 -376.058
125.392 5.28136 -375.309
126.453 5.29413 -374.532
127.491 5.30624 -373.728
128.504 5.31745 -372.896
129.487 5.32751 -372.037
130.434 5.33618 -371.151
131.349 5.34362 -370.235
132.238 5.35012 -369.287
133.1 5.35567 -368.311
133.934 5.36022 -367.308
134.739 5.36375 -366.281
135.516 5.36621 -365.232
136.264 5.36759 -364.163
136.982 5.36785 -363.077
137.674 5.36685 -361.971
138.341 5.36457 -360.842
138.982 5.36114 -359.691
139.592 5.35668 -358.519
140.17 5.35132 -357.327
140.713 5.34519 -356.117
141.218 5.33841 -354.891
141.682 5.33111 -353.648
142.111 5.32293 -352.379
